lat,lon,depth,geometry
45.1667,12.5167,-25.2273,POINT (45.16669845581055 12.51669979095459)
45.1667,12.5208,-25.1877,POINT (45.16669845581055 12.52079963684082)
45.1667,12.525,-25.133,POINT (45.16669845581055 12.524999618530273)
45.1667,12.5292,-25.0424,POINT (45.16669845581055 12.529199600219727)
45.1667,12.5333,-24.9449,POINT (45.16669845581055 12.533300399780273)
45.1667,12.5375,-24.8576,POINT (45.16669845581055 12.537500381469727)
45.1667,12.5417,-24.7842,POINT (45.16669845581055 12.54170036315918)
45.1667,12.5458,-24.7362,POINT (45.16669845581055 12.54580020904541)
45.1667,12.55,-24.7056,POINT (45.16669845581055 12.550000190734863)
45.1667,12.5542,-24.686,POINT (45.16669845581055 12.554200172424316)
45.1667,12.5583,-24.6776,POINT (45.16669845581055 12.558300018310547)
45.1667,12.5625,-24.6826,POINT (45.16669845581055 12.5625)
45.1667,12.5667,-24.7003,POINT (45.16669845581055 12.566699981689453)
45.1667,12.5708,-24.7291,POINT (45.16669845581055 12.570799827575684)
45.1667,12.575,-24.7671,POINT (45.16669845581055 12.574999809265137)
45.1667,12.5792,-24.8067,POINT (45.16669845581055 12.57919979095459)
45.1708,12.1208,-0.0,POINT (45.170799255371094 12.120800018310547)
45.1708,12.125,-0.0,POINT (45.170799255371094 12.125)
45.1708,12.1292,-0.0,POINT (45.170799255371094 12.129199981689453)
45.1708,12.1333,-0.0,POINT (45.170799255371094 12.133299827575684)
45.1708,12.1375,-0.0,POINT (45.170799255371094 12.137499809265137)
45.1708,12.1417,-0.0,POINT (45.170799255371094 12.14169979095459)
45.1708,12.1458,-0.0,POINT (45.170799255371094 12.14579963684082)
45.1708,12.15,-0.0,POINT (45.170799255371094 12.149999618530273)
45.1708,12.1542,-0.0,POINT (45.170799255371094 12.154199600219727)
45.1708,12.1583,-0.0,POINT (45.170799255371094 12.158300399780273)
45.1708,12.1625,-0.0,POINT (45.170799255371094 12.162500381469727)
45.1708,12.1667,-0.0,POINT (45.170799255371094 12.16670036315918)
45.1708,12.1708,-0.0,POINT (45.170799255371094 12.17080020904541)
45.1708,12.175,-0.0,POINT (45.170799255371094 12.175000190734863)
45.1708,12.1792,-0.0,POINT (45.170799255371094 12.179200172424316)
45.1708,12.1833,-0.0,POINT (45.170799255371094 12.183300018310547)
45.1708,12.1875,-0.0,POINT (45.170799255371094 12.1875)
45.1708,12.1917,-0.0,POINT (45.170799255371094 12.191699981689453)
45.1708,12.1958,-0.0,POINT (45.170799255371094 12.195799827575684)
45.1708,12.2,-0.0,POINT (45.170799255371094 12.199999809265137)
45.1708,12.2042,-0.0,POINT (45.170799255371094 12.20419979095459)
45.1708,12.2083,-0.0,POINT (45.170799255371094 12.20829963684082)
45.1708,12.2125,-0.0,POINT (45.170799255371094 12.212499618530273)
45.1708,12.2167,-0.0,POINT (45.170799255371094 12.216699600219727)
45.1708,12.2208,-0.0,POINT (45.170799255371094 12.220800399780273)
45.1708,12.225,-0.0,POINT (45.170799255371094 12.225000381469727)
45.1708,12.2292,-0.0,POINT (45.170799255371094 12.22920036315918)
45.1708,12.2333,-0.0,POINT (45.170799255371094 12.23330020904541)
45.1708,12.2375,-0.0,POINT (45.170799255371094 12.237500190734863)
45.1708,12.2417,-0.0,POINT (45.170799255371094 12.241700172424316)
45.1708,12.2458,-0.0,POINT (45.170799255371094 12.245800018310547)
45.1708,12.25,-0.0,POINT (45.170799255371094 12.25)
45.1708,12.2542,-0.0,POINT (45.170799255371094 12.254199981689453)
45.1708,12.2583,-0.0,POINT (45.170799255371094 12.258299827575684)
45.1708,12.2625,-0.0,POINT (45.170799255371094 12.262499809265137)
45.1708,12.2667,-0.0,POINT (45.170799255371094 12.26669979095459)
45.1708,12.2708,-0.0,POINT (45.170799255371094 12.27079963684082)
45.1708,12.275,-0.0,POINT (45.170799255371094 12.274999618530273)
45.1708,12.2792,-0.0,POINT (45.170799255371094 12.279199600219727)
45.1708,12.2833,-0.0,POINT (45.170799255371094 12.283300399780273)
45.1708,12.2875,-0.0,POINT (45.170799255371094 12.287500381469727)
45.1708,12.2917,-0.0,POINT (45.170799255371094 12.29170036315918)
45.1708,12.2958,-0.0,POINT (45.170799255371094 12.29580020904541)
45.1708,12.3,-0.0,POINT (45.170799255371094 12.300000190734863)
45.1708,12.3042,-0.0,POINT (45.170799255371094 12.304200172424316)
45.1708,12.3083,-0.0,POINT (45.170799255371094 12.308300018310547)
45.1708,12.3125,-0.0,POINT (45.170799255371094 12.3125)
45.1708,12.3167,-0.0,POINT (45.170799255371094 12.316699981689453)
45.1708,12.3208,-0.0,POINT (45.170799255371094 12.320799827575684)
45.1708,12.325,-0.0,POINT (45.170799255371094 12.324999809265137)
45.1708,12.3292,-1.3109,POINT (45.170799255371094 12.32919979095459)
45.1708,12.3333,-2.6069,POINT (45.170799255371094 12.33329963684082)
45.1708,12.3375,-4.1839,POINT (45.170799255371094 12.337499618530273)
45.1708,12.3417,-6.3982,POINT (45.170799255371094 12.341699600219727)
45.1708,12.3458,-9.7206,POINT (45.170799255371094 12.345800399780273)
45.1708,12.35,-12.0341,POINT (45.170799255371094 12.350000381469727)
45.1708,12.3542,-13.7813,POINT (45.170799255371094 12.35420036315918)
45.1708,12.3583,-15.165,POINT (45.170799255371094 12.35830020904541)
45.1708,12.3625,-15.9999,POINT (45.170799255371094 12.362500190734863)
45.1708,12.3667,-17.3484,POINT (45.170799255371094 12.366700172424316)
45.1708,12.3708,-18.3139,POINT (45.170799255371094 12.370800018310547)
45.1708,12.375,-19.3834,POINT (45.170799255371094 12.375)
45.1708,12.3792,-20.2286,POINT (45.170799255371094 12.379199981689453)
45.1708,12.3833,-20.7059,POINT (45.170799255371094 12.383299827575684)
45.1708,12.3875,-21.0397,POINT (45.170799255371094 12.387499809265137)
45.1708,12.3917,-21.3373,POINT (45.170799255371094 12.39169979095459)
45.1708,12.3958,-21.6187,POINT (45.170799255371094 12.39579963684082)
45.1708,12.4,-21.9146,POINT (45.170799255371094 12.399999618530273)
45.1708,12.4042,-22.3096,POINT (45.170799255371094 12.404199600219727)
45.1708,12.4083,-22.6947,POINT (45.170799255371094 12.408300399780273)
45.1708,12.4125,-23.072,POINT (45.170799255371094 12.412500381469727)
45.1708,12.4167,-23.5172,POINT (45.170799255371094 12.41670036315918)
45.1708,12.4208,-24.0586,POINT (45.170799255371094 12.42080020904541)
45.1708,12.425,-24.4175,POINT (45.170799255371094 12.425000190734863)
45.1708,12.4292,-24.6336,POINT (45.170799255371094 12.429200172424316)
45.1708,12.4333,-24.7618,POINT (45.170799255371094 12.433300018310547)
45.1708,12.4375,-24.8379,POINT (45.170799255371094 12.4375)
45.1708,12.4417,-24.8683,POINT (45.170799255371094 12.441699981689453)
45.1708,12.4458,-24.8492,POINT (45.170799255371094 12.445799827575684)
45.1708,12.45,-24.7842,POINT (45.170799255371094 12.449999809265137)
45.1708,12.4542,-24.6796,POINT (45.170799255371094 12.45419979095459)
45.1708,12.4583,-24.5266,POINT (45.170799255371094 12.45829963684082)
45.1708,12.4625,-24.2876,POINT (45.170799255371094 12.462499618530273)
45.1708,12.4667,-24.0304,POINT (45.170799255371094 12.466699600219727)
45.1708,12.4708,-23.8272,POINT (45.170799255371094 12.470800399780273)
45.1708,12.475,-23.7891,POINT (45.170799255371094 12.475000381469727)
45.1708,12.4792,-23.9483,POINT (45.170799255371094 12.47920036315918)
45.1708,12.4833,-24.3808,POINT (45.170799255371094 12.48330020904541)
45.1708,12.4875,-24.7852,POINT (45.170799255371094 12.487500190734863)
45.1708,12.4917,-25.0021,POINT (45.170799255371094 12.491700172424316)
45.1708,12.4958,-25.0444,POINT (45.170799255371094 12.495800018310547)
45.1708,12.5,-25.3933,POINT (45.170799255371094 12.5)
45.1708,12.5042,-25.6629,POINT (45.170799255371094 12.504199981689453)
45.1708,12.5083,-25.8477,POINT (45.170799255371094 12.508299827575684)
45.1708,12.5125,-26.0102,POINT (45.170799255371094 12.512499809265137)
45.1708,12.5167,-25.99,POINT (45.170799255371094 12.51669979095459)
45.1708,12.5208,-25.8061,POINT (45.170799255371094 12.52079963684082)
45.1708,12.525,-25.6284,POINT (45.170799255371094 12.524999618530273)
45.1708,12.5292,-25.4512,POINT (45.170799255371094 12.529199600219727)
45.1708,12.5333,-25.2544,POINT (45.170799255371094 12.533300399780273)
45.1708,12.5375,-25.0415,POINT (45.170799255371094 12.537500381469727)
45.1708,12.5417,-24.8657,POINT (45.170799255371094 12.54170036315918)
45.1708,12.5458,-24.7398,POINT (45.170799255371094 12.54580020904541)
45.1708,12.55,-24.6637,POINT (45.170799255371094 12.550000190734863)
45.1708,12.5542,-24.6202,POINT (45.170799255371094 12.554200172424316)
45.1708,12.5583,-24.6043,POINT (45.170799255371094 12.558300018310547)
45.1708,12.5625,-24.6077,POINT (45.170799255371094 12.5625)
45.1708,12.5667,-24.6287,POINT (45.170799255371094 12.566699981689453)
45.1708,12.5708,-24.6694,POINT (45.170799255371094 12.570799827575684)
45.1708,12.575,-24.7269,POINT (45.170799255371094 12.574999809265137)
45.1708,12.5792,-24.7918,POINT (45.170799255371094 12.57919979095459)
45.175,12.1208,-0.0,POINT (45.17499923706055 12.120800018310547)
45.175,12.125,-0.0,POINT (45.17499923706055 12.125)
45.175,12.1292,-0.0,POINT (45.17499923706055 12.129199981689453)
45.175,12.1333,-0.0,POINT (45.17499923706055 12.133299827575684)
