lat,lon,depth
45.1708,12.4833,-24.3808
45.1708,12.4875,-24.7852
45.1708,12.4917,-25.0021
45.1708,12.4958,-25.0444
45.1708,12.5,-25.3933
45.1708,12.5042,-25.6629
45.1708,12.5083,-25.8477
45.1708,12.5125,-26.0102
45.1708,12.5167,-25.99
45.1708,12.5208,-25.8061
45.1708,12.525,-25.6284
45.1708,12.5292,-25.4512
45.1708,12.5333,-25.2544
45.1708,12.5375,-25.0415
45.1708,12.5417,-24.8657
45.1708,12.5458,-24.7398
45.1708,12.55,-24.6637
45.1708,12.5542,-24.6202
45.1708,12.5583,-24.6043
45.1708,12.5625,-24.6077
45.1708,12.5667,-24.6287
45.1708,12.5708,-24.6694
45.1708,12.575,-24.7269
45.1708,12.5792,-24.7918
45.175,12.1208,-0.0
45.175,12.125,-0.0
45.175,12.1292,-0.0
45.175,12.1333,-0.0
45.175,12.1375,-0.0
45.175,12.1417,-0.0
45.175,12.1458,-0.0
45.175,12.15,-0.0
45.175,12.1542,-0.0
45.175,12.1583,-0.0
45.175,12.1625,-0.0
45.175,12.1667,-0.0
45.175,12.1708,-0.0
45.175,12.175,-0.0
45.175,12.1792,-0.0
45.175,12.1833,-0.0
45.175,12.1875,-0.0
45.175,12.1917,-0.0
45.175,12.1958,-0.0
45.175,12.2,-0.0
45.175,12.2042,-0.0
45.175,12.2083,-0.0
45.175,12.2125,-0.0
45.175,12.2167,-0.0
45.175,12.2208,-0.0
45.175,12.225,-0.0
45.175,12.2292,-0.0
45.175,12.2333,-0.0
45.175,12.2375,-0.0
45.175,12.2417,-0.0
45.175,12.2458,-0.0
45.175,12.25,-0.0
45.175,12.2542,-0.0
45.175,12.2583,-0.0
45.175,12.2625,-0.0
45.175,12.2667,-0.0
45.175,12.2708,-0.0
45.175,12.275,-0.0
45.175,12.2792,-0.0
45.175,12.2833,-0.0
45.175,12.2875,-0.0
45.175,12.2917,-0.0
45.175,12.2958,-0.0
45.175,12.3,-0.0
45.175,12.3042,-0.0
45.175,12.3083,-0.0
45.175,12.3125,-0.0
45.175,12.3167,-0.0
45.175,12.3208,-0.0
45.175,12.325,-0.2196
45.175,12.3292,-2.5093
45.175,12.3333,-4.6032
45.175,12.3375,-6.9009
45.175,12.3417,-9.7378
45.175,12.3458,-13.0178
45.175,12.35,-13.9665
45.175,12.3542,-14.6523
45.175,12.3583,-15.3826
45.175,12.3625,-16.2121
45.175,12.3667,-17.3725
45.175,12.3708,-18.2307
45.175,12.375,-19.2473
45.175,12.3792,-20.0652
45.175,12.3833,-20.5773
45.175,12.3875,-20.9388
45.175,12.3917,-21.2441
45.175,12.3958,-21.5247
45.175,12.4,-21.8101
45.175,12.4042,-22.132
45.175,12.4083,-22.4333
45.175,12.4125,-22.7248
45.175,12.4167,-23.0974
45.175,12.4208,-23.746
45.175,12.425,-24.2493
45.175,12.4292,-24.51
45.175,12.4333,-24.6625
45.175,12.4375,-24.7779
45.175,12.4417,-24.8575
45.175,12.4458,-24.8875
45.175,12.45,-24.8762
45.175,12.4542,-24.8395
45.175,12.4583,-24.7693
45.175,12.4625,-24.6346
45.175,12.4667,-24.4389
45.175,12.4708,-24.2316
45.175,12.475,-24.0921
45.175,12.4792,-24.1846
45.175,12.4833,-24.528
45.175,12.4875,-24.805
45.175,12.4917,-24.9513
45.175,12.4958,-25.1465
45.175,12.5,-25.647
45.175,12.5042,-25.9595
45.175,12.5083,-26.1174
45.175,12.5125,-26.2881
45.175,12.5167,-26.3183
45.175,12.5208,-26.2175
45.175,12.525,-26.0923
45.175,12.5292,-25.9245
45.175,12.5333,-25.7141
45.175,12.5375,-25.4624
45.175,12.5417,-25.1614
45.175,12.5458,-24.908
45.175,12.55,-24.7553
45.175,12.5542,-24.6609
45.175,12.5583,-24.619
45.175,12.5625,-24.6035
45.175,12.5667,-24.6124
45.175,12.5708,-24.6548
45.175,12.575,-24.7275
45.175,12.5792,-24.8213
45.1792,12.1208,-0.0
45.1792,12.125,-0.0
45.1792,12.1292,-0.0
45.1792,12.1333,-0.0
45.1792,12.1375,-0.0
45.1792,12.1417,-0.0
45.1792,12.1458,-0.0
45.1792,12.15,-0.0
45.1792,12.1542,-0.0
45.1792,12.1583,-0.0
45.1792,12.1625,-0.0
45.1792,12.1667,-0.0
45.1792,12.1708,-0.0
45.1792,12.175,-0.0
45.1792,12.1792,-0.0
45.1792,12.1833,-0.0
45.1792,12.1875,-0.0
45.1792,12.1917,-0.0
45.1792,12.1958,-0.0
45.1792,12.2,-0.0
